series,first_issue,last_issue,total_found,gap_count,missing,unnumbered,path
CL-orz,5,54,38,8,"1-4, 6, 8, 10, 13, 43-48, 50, 53",0,\\tower\media\comics\Comix\CL-orz
B-Trayal 39 Marin Kitagawa + Extras,1,36,22,7,"8, 17-18, 20-21, 23-24, 26, 28-31, 33-35",21,\\tower\media\comics\Comix\B-Trayal 39 Marin Kitagawa + Extras
Fire in His Fingertips Vol. 1-19,1,19,8,7,"2, 4, 6, 8, 10, 12-14, 16-18",0,\\tower\media\comics\Comix\Fire in His Fingertips Vol. 1-19
Drunk on You,5,81,40,5,"1-4, 10-43, 60, 62, 80",1,\\tower\media\comics\Comix\Drunk on You
Kyonyuu Jukubo No Abunai Kaikan,2,10,5,5,"1, 3, 5, 7, 9",2,\\tower\media\comics\Comix\Kyonyuu Jukubo No Abunai Kaikan
Moms Help,1,76,68,5,"56-57, 62, 65, 69-71, 74",0,\\tower\media\comics\Comix\Moms Help
"I must be out of my mind to fall in love with SAORI, the Snuff Queen",5,16,9,4,"1-4, 8, 11, 14",0,"\\tower\media\comics\Comix\I must be out of my mind to fall in love with SAORI, the Snuff Queen"
Stepmother’s Friends Uncensored,1,22,15,4,"2-3, 5-6, 13, 20-21",1,\\tower\media\comics\Comix\Stepmother’s Friends Uncensored
CL-e,4,12,5,3,"1-3, 5-6, 10-11",0,\\tower\media\comics\Comix\CL-e
CO-ED SeXXtasy,2,13,6,3,"1, 3-6, 11-12",0,\\tower\media\comics\Comix\CO-ED SeXXtasy
Enjo Kouhai 9 9,2,12,4,3,"1, 3-8, 10",4,\\tower\media\comics\Comix\Enjo Kouhai 9 9
Forbidden Love 11-29,11,29,15,3,"1-10, 13-14, 22-23",0,\\tower\media\comics\Comix\Forbidden Love 11-29
How to use dolls,2,7,4,3,"1, 4, 6",1,\\tower\media\comics\Comix\How to use dolls
I Sold My Body To A God,5.5,16,3,3,"1-4, 6.5-8.5, 10.5-15.5",2,\\tower\media\comics\Comix\I Sold My Body To A God
Idol Ryoujoku 12 Yukiho Bus Chikan 12,7,17,9,3,"1-6, 10, 15",1,\\tower\media\comics\Comix\Idol Ryoujoku 12 Yukiho Bus Chikan 12
Idol Ryoujoku 13 Yukiho Biyaku Oil Este 13,7,17,9,3,"1-6, 10, 15",1,\\tower\media\comics\Comix\Idol Ryoujoku 13 Yukiho Biyaku Oil Este 13
Idol Ryoujoku 16 Yukiho Toshokan 16,7,17,9,3,"1-6, 10, 15",1,\\tower\media\comics\Comix\Idol Ryoujoku 16 Yukiho Toshokan 16
Idol Ryoujoku 17 Yukiho Magic Mirror Gou,7,17,9,3,"1-6, 10, 15",1,\\tower\media\comics\Comix\Idol Ryoujoku 17 Yukiho Magic Mirror Gou
Madness Together,2,11,8,3,"1, 3, 7",0,\\tower\media\comics\Comix\Madness Together
My Aunt Secret Life,1,26,17,3,"3-9, 12, 20",1,\\tower\media\comics\Comix\My Aunt Secret Life
Oshigoto Theater 6 6,2,8,5,3,"1, 4, 7",0,\\tower\media\comics\Comix\Oshigoto Theater 6 6
VictimGirlsR -JK de Refre -Flesh & Refresh-,3,22,3,3,"1-2, 4, 6-21",10,\\tower\media\comics\Comix\VictimGirlsR -JK de Refre -Flesh & Refresh-
Violated Woods ~The Fall of an Elf~ Act,1,11,5,3,"2-5, 7, 9",0,\\tower\media\comics\Comix\Violated Woods ~The Fall of an Elf~ Act
Yearning For My Aunt,2,15,11,3,"1, 6, 13-14",2,\\tower\media\comics\Comix\Yearning For My Aunt
Ay Papi 1,20,22,2,2,"1-19, 21",0,\\tower\media\comics\Comix\Ay Papi 1
Cocksleeve Classroom New Semester - Lesson,2,7,3,2,"1, 3-5",0,\\tower\media\comics\Comix\Cocksleeve Classroom New Semester - Lesson
Comic,72,96,2,2,"1-71, 73-95",0,\\tower\media\comics\Comix\Comic
Dartzai,2,2025,3,2,"1, 4-2024",36,\\tower\media\comics\Comix\Dartzai
Dirty Deeds on the Way to Work,2,11,9,2,"1, 10",0,\\tower\media\comics\Comix\Dirty Deeds on the Way to Work
Don’t Hate the Player,2,8,6,2,"1, 7",1,\\tower\media\comics\Comix\Don’t Hate the Player
Family Sins 1,20,54,2,2,"1-19, 21-53",0,\\tower\media\comics\Comix\Family Sins 1
Family Values 1,2,8,2,2,"1, 3-7",0,\\tower\media\comics\Comix\Family Values 1
Father-in-Law at Home,1,49,38,2,"36-43, 46-48",0,\\tower\media\comics\Comix\Father-in-Law at Home
Fitness Uncensored,0,104,8,2,"2-9, 11-99",1,\\tower\media\comics\Comix\Fitness Uncensored
Forbidden Love,1,29,26,2,"11, 13-14",1,\\tower\media\comics\Comix\Forbidden Love
I Can't Resist His Massage Cheating in Front of My Husband's Eyes,14,16,2,2,"1-13, 15",0,\\tower\media\comics\Comix\I Can't Resist His Massage Cheating in Front of My Husband's Eyes
Imaizumi Brings All The Gyarus To His House,7,16,2,2,"1-6, 8-15",0,\\tower\media\comics\Comix\Imaizumi Brings All The Gyarus To His House
Inevitable,13,113,3,2,"1-12, 15-112",0,\\tower\media\comics\Comix\Inevitable
Jukuniku Kanin,4,407,2,2,"1-3, 5-406",1,\\tower\media\comics\Comix\Jukuniku Kanin
KANOJO NO MAMA HA BOKU NO SEFURE,2,12,2,2,"1, 3-11",2,\\tower\media\comics\Comix\KANOJO NO MAMA HA BOKU NO SEFURE
Lotsa Hearts,3,13,2,2,"1-2, 4-12",0,\\tower\media\comics\Comix\Lotsa Hearts
Maid Education,7,13,3,2,"1-6, 9-12",0,\\tower\media\comics\Comix\Maid Education
Mother Desire Forbidden,18,923,2,2,"1-17, 19-922",0,\\tower\media\comics\Comix\Mother Desire Forbidden
Mother My Slave,2,12,2,2,"1, 3-11",1,\\tower\media\comics\Comix\Mother My Slave
Motherly,2,12,2,2,"1, 3-11",0,\\tower\media\comics\Comix\Motherly
My Life in a Boarding House,2,12,2,2,"1, 3-11",0,\\tower\media\comics\Comix\My Life in a Boarding House
My Mom is My PornStar,2,15,9,2,"1, 10-14",1,\\tower\media\comics\Comix\My Mom is My PornStar
My Wife Started Experimenting,2,15,5,2,"1, 6-14",0,\\tower\media\comics\Comix\My Wife Started Experimenting
Next Life Sex Hero,1,13,6,2,"3, 7-12",0,\\tower\media\comics\Comix\Next Life Sex Hero
NKDC,4,11,2,2,"1-3, 5-10",1,\\tower\media\comics\Comix\NKDC
Obscene Academy,2,13,3,2,"1, 4-12",1,\\tower\media\comics\Comix\Obscene Academy
On An Island Where Pistils Bloom Book 1,3,9,3,2,"1-2, 4-7",1,\\tower\media\comics\Comix\On An Island Where Pistils Bloom Book 1
Porno Lovers,6,8,2,2,"1-5, 7",0,\\tower\media\comics\Comix\Porno Lovers
Re Incarnation Act,3,5,2,2,"1-2, 4",0,\\tower\media\comics\Comix\Re Incarnation Act
Saitom Box,2,15,4,2,"1, 4-14",2,\\tower\media\comics\Comix\Saitom Box
Scarlett Ann Dear Mother Clara,3,14,2,2,"1-2, 4-13",0,\\tower\media\comics\Comix\Scarlett Ann Dear Mother Clara
School Love Net,1,10,3,2,"2-6, 8-9",1,\\tower\media\comics\Comix\School Love Net
School Regulation Violation,34,43,2,2,"1-33, 35-42",0,\\tower\media\comics\Comix\School Regulation Violation
Sex Friend,2,34,6,2,"1, 5-33",2,\\tower\media\comics\Comix\Sex Friend
Sex Partners Delivered to Your Door,2,13,4,2,"1, 5-12",0,\\tower\media\comics\Comix\Sex Partners Delivered to Your Door
Sex with Senpai,2,12,2,2,"1, 3-11",0,\\tower\media\comics\Comix\Sex with Senpai
Sparrow,5,7,2,2,"1-4, 6",0,\\tower\media\comics\Comix\Sparrow
That Won't Fit All Night Sex with the Biggest Cock,4,15,3,2,"1-3, 6-14",0,\\tower\media\comics\Comix\That Won't Fit All Night Sex with the Biggest Cock
The Neighbor Next Door,2,12,2,2,"1, 3-11",1,\\tower\media\comics\Comix\The Neighbor Next Door
The Pastime,1,16,5,2,"2-11, 13",0,\\tower\media\comics\Comix\The Pastime
The Share Houses Secret Rule,7,10,3,2,"1-6, 9",0,\\tower\media\comics\Comix\The Share Houses Secret Rule
Tiny Evil chans,2,5,2,2,"1, 3-4",2,\\tower\media\comics\Comix\Tiny Evil chans
